brand_name,brand_website,category,example_product_or_service,evidence_type,school_or_market,year,source_url,source_description,frequency_signal,public_or_private,ticker_if_known,confidence
Bath & Body Works,https://www.bathandbodyworks.com,beauty,body care fragrance,named_in_ootd,multiple schools,2026,https://beautymatter.com/articles/rush-week-beauty-sororities,Named in rush beauty content,3,public,BBWI,high
Pantene,https://www.pantene.com,beauty,haircare PR boxes gifted to rush TikTokers,gifted_content,Alabama,2026,https://www.fox32chicago.com/news/bama-rush-explained,Sent PR boxes to viral Bama Rush TikTok stars,4,public,PG,high
Sephora,https://www.sephora.com,beauty,beauty retail and experiential,sponsored_activation,multiple schools,2026,https://januarydigital.com/sorority-rush-brands-2026/,Sephora at Kohl's offered pre-recruitment beauty touch-up stations,4,public,LVMHY,high
Ulta Beauty,https://www.ulta.com,beauty,beauty retail,named_in_ootd,multiple schools,2026,https://beautymatter.com/articles/rush-week-beauty-sororities,Named in rush beauty roundup,3,public,ULTA,high
Louis Vuitton,https://www.louisvuitton.com,accessories,jewelry and handbags,named_in_ootd,Alabama,2026,https://www.fastcompany.com/91173743/the-uncomfortably-expensive-bracelets-of-bama-rush-are-going-viral-on-tiktok,Named in Bama Rush expensive bracelet viral content,2,public,LVMH,high
Van Cleef & Arpels,https://www.vancleefarpels.com,jewelry,Alhambra bracelets,named_in_ootd,Alabama,2026,https://www.fastcompany.com/91173743/the-uncomfortably-expensive-bracelets-of-bama-rush-are-going-viral-on-tiktok,Named in Bama Rush bracelet viral content,2,public,RMS,high
Cartier,https://www.cartier.com,jewelry,Love bracelet,named_in_ootd,Alabama,2026,https://www.hercampus.com/style/how-much-bama-rush-ootds-cost-outfits-tiktok/,Named in Bama Rush OOTD cost breakdown,2,public,RMS,high
Rolex,https://www.rolex.com,accessories,watches,named_in_ootd,Alabama,2026,https://www.hercampus.com/style/how-much-bama-rush-ootds-cost-outfits-tiktok/,Named in Bama Rush OOTD cost breakdown,2,public,RLHBF,high
Burberry,https://us.burberry.com,clothing,accessories and apparel,named_in_ootd,multiple schools,2026,https://www.hercampus.com/style/how-much-bama-rush-ootds-cost-outfits-tiktok/,Named in Bama Rush OOTD costs article,2,public,BURBY,medium
Dior,https://www.dior.com,clothing,shoes and accessories,named_in_ootd,Alabama,2026,https://snobette.substack.com/p/bama-rush-as-a-sneaker-focus-group,Dior sneakers spotted at Bama Rush,2,public,CDIY,high
Gucci,https://www.gucci.com,accessories,loafers and accessories,named_in_ootd,Alabama,2026,https://snobette.substack.com/p/bama-rush-as-a-sneaker-focus-group,Gucci footwear spotted at Bama Rush,2,public,KER,medium
Aerie,https://www.ae.com/us/en/c/aerie,clothing,bralettes and activewear,named_in_ootd,multiple schools,2026,https://snobette.substack.com/p/bama-rush-as-a-sneaker-focus-group,Named in rush activewear content,2,public,AEO,high
Nike,https://www.nike.com,shoes,sneakers,named_in_ootd,multiple schools,2026,https://snobette.substack.com/p/bama-rush-as-a-sneaker-focus-group,Nike sneakers spotted at Bama Rush,3,public,NKE,high
