brand_name,brand_website,category,example_product_or_service,evidence_type,school_or_market,year,source_url,source_description,frequency_signal,public_or_private,ticker_if_known,confidence
South Boutique,https://southboutiquetuscaloosa.com,clothing,dresses and sorority items,local-boutique,Alabama (Tuscaloosa),2026,https://www.cbs42.com/news/bama-rush-brings-booming-business-to-tuscaloosa-boutiques/,Tuscaloosa boutique seeing 400% sales increase during rush,5,private,,high
Tanning Oasis,https://tanningoasisdowntown.com,tanning,spray tanning services,rush-services,Alabama (Tuscaloosa),2026,https://www.yelp.com/biz/tanning-oasis-tuscaloosa,Tuscaloosa spray tan salon using Norvell; serves rush participants,4,private,,high
Bare & Sol,https://bareandsol.skin,tanning,body sugaring and spray tanning,rush-services,Alabama (Tuscaloosa),2026,https://bareandsol.skin/pages/locations/tuscaloosa,Tuscaloosa tanning service serving sorority events and rush,5,private,,high
Glow on the Go,https://www.glowonthegotuscaloosa.com,tanning,mobile spray tanning,rush-services,Alabama (Tuscaloosa),2026,https://www.glowonthegotuscaloosa.com/,Mobile spray tan service specifically serving Tuscaloosa for rush,4,private,,high
Downtown and Mane,https://downtownandmane.com,tanning,spray tans and hair salon,rush-services,Alabama (Tuscaloosa),2026,https://downtownandmane.com/spray-tans,Tuscaloosa salon offering rush-adjacent spray tans,3,private,,high
Lush MedSpa Tuscaloosa,https://lushmedspatuscaloosa.com,tanning,spray tanning in Tuscaloosa,rush-services,Alabama (Tuscaloosa),2026,https://lushmedspatuscaloosa.com/services/spray-tanning-in-tuscaloosa-al/,Rush-adjacent medspa spray tanning service,3,private,,high
Glam Salon & Blow Dry Bar,https://www.glamsalonandblowdrybar.com,beauty,hair and spray tan services,rush-services,Alabama (Tuscaloosa),2026,https://www.glamsalonandblowdrybar.com/services/other-services/spray-tan,Tuscaloosa salon with spray tan services for rush,3,private,,high
Expeditions,https://shopexpeditions.com,clothing,men's women's and collegiate wear,local-boutique,Alabama (Tuscaloosa),2026,https://shopexpeditions.com/collections/sorority-rush,Tuscaloosa boutique with sorority rush collection,4,private,,high
Chaise Beauty Lounge,https://www.chaisebeautylounge.com,beauty,luxury spa lash and brow services,rush-services,Alabama (Tuscaloosa),2026,https://www.chaisebeautylounge.com/,Tuscaloosa premiere luxury beauty spa serving sorority members,4,private,,high
TaylorMade Salon,https://www.taylormadesalontuscaloosa.com,beauty,full-service hair salon,rush-services,Alabama (Tuscaloosa),2026,https://www.taylormadesalontuscaloosa.com/,Tuscaloosa luxury full service salon serving rush participants,3,private,,high
Phenix Salon Suites,https://www.phenixsalonsuites.com,beauty,salon suites with lash and skin care,rush-services,Alabama (Tuscaloosa),2026,https://phenixsalonsuitesmidtown.com/services/skin-care-massage-eyelash-extensions/,Tuscaloosa salon suites near sorority row,3,private,,medium
LoveMyLash,,beauty,lash extension studio,rush-services,Alabama (Tuscaloosa),2026,https://www.uttpbeautyarts.com/,Tuscaloosa lash extension studio serving rush participants,3,private,,medium
Glow Floral Event Design,https://glowfloralevents.com,event-services,bid day flowers and gift boutique for sorority houses,local-boutique,Alabama (Tuscaloosa),2026,https://glowfloralevents.com/collections/glow-gift-boutique,Specializes in bid day delivery to sorority row at UA with coordinated florals and gifts,4,private,,high
Glo Tanning,https://www.glotanning.com,tanning,UV and spray tanning for sorority rush season,rush-services,Alabama (Tuscaloosa),2026,https://finance.yahoo.com/small-business/articles/glo-tanning-debuts-tuscaloosa-bringing-125000778.html,Opened Tuscaloosa studio July 2026 locally owned serving UA Greek community,3,private,,high
Palm Beach Tan,https://palmbeachtan.com,tanning,spray tanning and UV tanning beds for rush,rush-services,Alabama (Tuscaloosa),2026,https://palmbeachtan.com/locations/al/tuscaloosa-university-boulevard,Tuscaloosa University Boulevard location serving sorority rush market,2,public,,medium
Bama Tan Salon,,tanning,UV tanning airbrush and Mystic tan for rush,rush-services,Alabama (Tuscaloosa),2026,https://www.yelp.com/biz/bama-tan-salon-tuscaloosa,Tuscaloosa tanning institution since 1992 serving UA sorority market on University Blvd,3,private,,high
Body Works Tanning Salon,,tanning,UV and spray tanning for rush week,rush-services,Alabama (Tuscaloosa),2026,https://www.facebook.com/bodyworkstuscaloosa/,Tuscaloosa tanning salon serving UA students and sorority rush participants,2,private,,medium
Pause,https://www.pausetuscaloosa.com,local-boutique,women's clothing and rush week outfits,rush-services,Alabama (Tuscaloosa),2026,https://www.cbs42.com/news/bama-rush-brings-booming-business-to-tuscaloosa-boutiques/,Tuscaloosa boutique sees 400% business increase during Bama Rush; owner preps year in advance; avg customer spends $400,5,private,,high
Páno Interiors,https://www.panointeriors.com,dorm-decor,boutique dorm and home design studio in Tuscaloosa,rush-services,Alabama (Tuscaloosa),2026,https://www.panointeriors.com/,Tuscaloosa boutique design studio serving UA dorm rooms homes and corporate spaces in the SEC market,3,private,,medium
