brand_name,brand_website,category,example_product_or_service,evidence_type,school_or_market,year,source_url,source_description,frequency_signal,public_or_private,ticker_if_known,confidence
Bubble Skincare,https://www.hellobubble.com,skincare,skincare kits,gifted_content;named_in_ootd,multiple schools,2026,https://beautymatter.com/articles/rush-week-beauty-sororities,Named in beauty brands targeting rush season,3,private,,high
Anastasia Beverly Hills,https://www.anastasia.net,beauty,brow and makeup products,named_in_ootd,multiple schools,2026,https://beautymatter.com/articles/rush-week-beauty-sororities,Named in rush beauty brands roundup,2,public,,high
Grande Cosmetics,https://grandecosmetics.com,beauty,lash and brow serums,named_in_ootd,multiple schools,2026,https://beautymatter.com/articles/rush-week-beauty-sororities,Named in rush beauty brands roundup,2,private,,high
Bath & Body Works,https://www.bathandbodyworks.com,beauty,body care fragrance,named_in_ootd,multiple schools,2026,https://beautymatter.com/articles/rush-week-beauty-sororities,Named in rush beauty content,3,public,BBWI,high
Pantene,https://www.pantene.com,beauty,haircare PR boxes gifted to rush TikTokers,gifted_content,Alabama,2026,https://www.fox32chicago.com/news/bama-rush-explained,Sent PR boxes to viral Bama Rush TikTok stars,4,public,PG,high
Huda Beauty,https://hudabeauty.com,beauty,makeup,gifted_content,multiple schools,2026,https://www.fox32chicago.com/news/bama-rush-explained,Gifted to rush participants creating TikTok content,3,public,,high
NARS Cosmetics,https://www.narscosmetics.com,beauty,makeup foundation,gifted_content,multiple schools,2026,https://www.fox32chicago.com/news/bama-rush-explained,Gifted to rush content creators,3,private,,high
Kosas,https://kosas.com,beauty,clean makeup products,gifted_content,multiple schools,2026,https://www.fox32chicago.com/news/bama-rush-explained,Gifted to rush TikTok content creators,2,private,,high
Alleyoop Beauty,https://alleyoop.com,beauty,multi-use beauty tools,gifted_content,multiple schools,2026,https://www.fox32chicago.com/news/bama-rush-explained,Gifted to rush content creators,2,private,,high
Sephora,https://www.sephora.com,beauty,beauty retail and experiential,sponsored_activation,multiple schools,2026,https://januarydigital.com/sorority-rush-brands-2026/,Sephora at Kohl's offered pre-recruitment beauty touch-up stations,4,public,LVMHY,high
Ulta Beauty,https://www.ulta.com,beauty,beauty retail,named_in_ootd,multiple schools,2026,https://beautymatter.com/articles/rush-week-beauty-sororities,Named in rush beauty roundup,3,public,ULTA,high
Louis Vuitton,https://www.louisvuitton.com,accessories,jewelry and handbags,named_in_ootd,Alabama,2026,https://www.fastcompany.com/91173743/the-uncomfortably-expensive-bracelets-of-bama-rush-are-going-viral-on-tiktok,Named in Bama Rush expensive bracelet viral content,2,public,LVMH,high
Van Cleef & Arpels,https://www.vancleefarpels.com,jewelry,Alhambra bracelets,named_in_ootd,Alabama,2026,https://www.fastcompany.com/91173743/the-uncomfortably-expensive-bracelets-of-bama-rush-are-going-viral-on-tiktok,Named in Bama Rush bracelet viral content,2,public,RMS,high
Cartier,https://www.cartier.com,jewelry,Love bracelet,named_in_ootd,Alabama,2026,https://www.hercampus.com/style/how-much-bama-rush-ootds-cost-outfits-tiktok/,Named in Bama Rush OOTD cost breakdown,2,public,RMS,high
Rolex,https://www.rolex.com,accessories,watches,named_in_ootd,Alabama,2026,https://www.hercampus.com/style/how-much-bama-rush-ootds-cost-outfits-tiktok/,Named in Bama Rush OOTD cost breakdown,2,public,RLHBF,high
Michele,https://www.michele.com,accessories,watches,named_in_ootd,Alabama,2026,https://www.hercampus.com/style/how-much-bama-rush-ootds-cost-outfits-tiktok/,Named in Bama Rush OOTD cost breakdown,2,private,,high
Burberry,https://us.burberry.com,clothing,accessories and apparel,named_in_ootd,multiple schools,2026,https://www.hercampus.com/style/how-much-bama-rush-ootds-cost-outfits-tiktok/,Named in Bama Rush OOTD costs article,2,public,BURBY,medium
Dior,https://www.dior.com,clothing,shoes and accessories,named_in_ootd,Alabama,2026,https://snobette.substack.com/p/bama-rush-as-a-sneaker-focus-group,Dior sneakers spotted at Bama Rush,2,public,CDIY,high
Gucci,https://www.gucci.com,accessories,loafers and accessories,named_in_ootd,Alabama,2026,https://snobette.substack.com/p/bama-rush-as-a-sneaker-focus-group,Gucci footwear spotted at Bama Rush,2,public,KER,medium
Aerie,https://www.ae.com/us/en/c/aerie,clothing,bralettes and activewear,named_in_ootd,multiple schools,2026,https://snobette.substack.com/p/bama-rush-as-a-sneaker-focus-group,Named in rush activewear content,2,public,AEO,high
WISKII,https://www.wiskii.com,clothing,athletic dresses and leggings,named_in_ootd,multiple schools,2026,https://collegelifemadeeasy.com/rush-dresses-sorority-recruitment/,Named in rush outfit guide,3,private,,high
Halara,https://us.halaraplus.com,clothing,exercise dresses and activewear,named_in_ootd,multiple schools,2026,https://collegelifemadeeasy.com/rush-dresses-sorority-recruitment/,Named in rush dress guide,3,private,,high
Cider,https://www.shopcider.com,clothing,trendy dresses,named_in_ootd,multiple schools,2026,https://collegelifemadeeasy.com/rush-dresses-sorority-recruitment/,Named in rush dress roundup,2,private,,medium
Rihoas,https://www.rihoas.com,clothing,dresses,named_in_ootd,multiple schools,2026,https://collegelifemadeeasy.com/rush-dresses-sorority-recruitment/,Named in rush dress roundup,1,private,,medium
Petal & Pup,https://www.petalandpup.com.au,clothing,dresses,named_in_ootd,multiple schools,2026,https://collegelifemadeeasy.com/rush-dresses-sorority-recruitment/,Named in rush dress roundup,2,private,,medium
Edikted,https://www.edikted.com,clothing,mini dresses and sets,named_in_ootd,multiple schools,2026,https://www.hercampus.com/style/best-stores-buy-sorority-rush-dresses/,Named as rush dress source,2,private,,medium
Peppermayo,https://www.peppermayo.com,clothing,dresses and playsuits,named_in_ootd,multiple schools,2026,https://www.hercampus.com/style/best-stores-buy-sorority-rush-dresses/,Named as rush dress source,2,private,,medium
That's So Fetch,https://us.thatsofetch.com,clothing,dresses and boutique apparel,named_in_ootd,multiple schools,2026,https://www.hercampus.com/style/sorority-rush-dresses-2025/,Named in rush dress guide,1,private,,medium
Shein,https://www.shein.com,clothing,affordable rush dresses,named_in_ootd,multiple schools,2026,https://www.glossy.co/fashion/fashion-and-beauty-brands-get-in-on-viral-bamarush-tiktok-trend/,Named in Bama Rush brand roundup article,2,public,,high
SABO Skirt,https://us.saboskirt.com,clothing,sorority rush dresses collection,rush_collection,multiple schools,2026,https://us.saboskirt.com/collections/sorority-rush,Has dedicated sorority rush dress collection,3,private,,high
BuddyLove,https://buddylove.com,clothing,rush outfits collection,rush_collection,multiple schools,2026,https://buddylove.com/collections/rush-outfits,Has dedicated rush outfits collection page,3,private,,high
Popilush,https://popilush.com,clothing,shapewear dresses,named_in_ootd,multiple schools,2026,https://chirpyest.com/blog/24-sorority-rush-ready-brands-start-shopping-for-rush-here/,Named as rush-ready brand,1,private,,medium
Vince Camuto,https://www.vincecamuto.com,shoes,sandals and heels,named_in_ootd,Alabama,2026,https://www.yahoo.com/lifestyle/dolce-vita-steve-madden-unofficial-222842109.html,Named in Bama Rush shoe OOTD roundup,2,private,,high
Marc Fisher,https://www.marcfisherfootwear.com,shoes,wedges and sandals,named_in_ootd,Alabama,2026,https://www.yahoo.com/lifestyle/dolce-vita-steve-madden-unofficial-222842109.html,Named in Bama Rush shoe OOTD roundup,2,private,,high
Tecovas,https://www.tecovas.com,shoes,cowboy boots,named_in_ootd,Alabama,2026,https://www.tiktok.com/@mayahshai/video/7488071162669501742,Tecovas boots worn in Bama Rush OOTD TikTok,2,private,,high
Nike,https://www.nike.com,shoes,sneakers,named_in_ootd,multiple schools,2026,https://snobette.substack.com/p/bama-rush-as-a-sneaker-focus-group,Nike sneakers spotted at Bama Rush,3,public,NKE,high
Adidas,https://www.adidas.com,shoes,sneakers,named_in_ootd,multiple schools,2026,https://snobette.substack.com/p/bama-rush-as-a-sneaker-focus-group,Adidas spotted at Bama Rush,2,public,ADDYY,medium
New Balance,https://www.newbalance.com,shoes,sneakers,named_in_ootd,multiple schools,2026,https://snobette.substack.com/p/bama-rush-as-a-sneaker-focus-group,New Balance sneakers seen at Bama Rush,3,public,,high
