brand_name,brand_website,category,example_product_or_service,evidence_type,school_or_market,year,source_url,source_description,frequency_signal,public_or_private,ticker_if_known,confidence
Louis Vuitton,https://www.louisvuitton.com,accessories,jewelry and handbags,named_in_ootd,Alabama,2026,https://www.fastcompany.com/91173743/the-uncomfortably-expensive-bracelets-of-bama-rush-are-going-viral-on-tiktok,Named in Bama Rush expensive bracelet viral content,2,public,LVMH,high
Van Cleef & Arpels,https://www.vancleefarpels.com,jewelry,Alhambra bracelets,named_in_ootd,Alabama,2026,https://www.fastcompany.com/91173743/the-uncomfortably-expensive-bracelets-of-bama-rush-are-going-viral-on-tiktok,Named in Bama Rush bracelet viral content,2,public,RMS,high
Cartier,https://www.cartier.com,jewelry,Love bracelet,named_in_ootd,Alabama,2026,https://www.hercampus.com/style/how-much-bama-rush-ootds-cost-outfits-tiktok/,Named in Bama Rush OOTD cost breakdown,2,public,RMS,high
Burberry,https://us.burberry.com,clothing,accessories and apparel,named_in_ootd,multiple schools,2026,https://www.hercampus.com/style/how-much-bama-rush-ootds-cost-outfits-tiktok/,Named in Bama Rush OOTD costs article,2,public,BURBY,medium
Dior,https://www.dior.com,clothing,shoes and accessories,named_in_ootd,Alabama,2026,https://snobette.substack.com/p/bama-rush-as-a-sneaker-focus-group,Dior sneakers spotted at Bama Rush,2,public,CDIY,high
Longchamp,https://www.longchamp.com,handbags,Le Pliage tote,named_in_ootd,multiple schools,2026,https://luggagegood.com/bag/best-sorority-rush-bag/,Named as most popular rush tote bag,4,public,,high
Mejuri,https://mejuri.com,jewelry,fine gold jewelry bracelets,named_in_ootd,multiple schools,2026,https://www.sheknows.com/parenting/slideshow/2531129/best-jewelry-brands-for-teens/,Named in jewelry brands popular with sorority demographics,2,private,,medium
Tiffany & Co.,https://www.tiffany.com,jewelry,bracelets and bangles,named_in_ootd,Alabama,2026,https://www.aol.com/breaking-down-much-really-costs-210000654.html,Named in Bama Rush OOTD cost breakdowns including $7820 bracelet stacks,4,public,TIF,high
Spinelli Kilcollin,https://www.spinellikilcollin.com,jewelry,chain ring and bracelet stacks,named_in_ootd,Alabama,2026,https://www.aol.com/lifestyle/girl-breaks-down-price-bama-172039568.html,Named in Bama Rush expensive OOTD breakdowns,2,private,,high
Kate Spade,https://www.katespade.com,handbags,canvas tote bags,named_in_ootd,multiple schools,2026,https://frostedevents.com/sorority-rush-bag-essentials/,Named as designer rush bag option,3,public,TAPSTRY,high
Coach,https://www.coach.com,handbags,tote bags and crossbody bags,named_in_ootd,multiple schools,2026,https://frostedevents.com/sorority-rush-bag-essentials/,Named as rush bag brand option,2,public,TPR,medium
Golden Goose,https://www.goldengoose.com,shoes,distressed luxury sneakers,named_in_ootd,multiple schools,2026,https://www.hercampus.com/style/how-much-bama-rush-ootds-cost-outfits-tiktok/,Named in Bama Rush OOTD cost breakdown,3,public,GGOB,high
David Yurman,https://www.davidyurman.com,jewelry,cable bracelets and necklaces,named_in_ootd,multiple schools,2026,https://www.hercampus.com/style/how-much-bama-rush-ootds-cost-outfits-tiktok/,Named in Bama Rush OOTD cost breakdown,2,private,,high
